geoname,geonum,b25077001,b25077_moe001,b19013001,b19013_moe001
51.05,108041005105,210200,12665,79545,8904
51.10,108041005110,158200,4324,51240,2982
54,108041005400,129400,6183,26752,3706
60,108041006000,160800,6259,44479,14934
76.02,108041007602,375900,27187,91875,9474
31.05,108101003105,196000,11591,64755,5710
35,108101003500,133800,33111,17440,3282
9801,108101980100,,,,
71.04,108005007104,280800,9190,82941,17806
71.01,108005007101,217600,11773,71705,6998
65.02,108041006502,143300,21021,48438,5504
69.01,108041006901,261000,6518,91463,7907
135.06,108013013506,301500,14470,100263,18750
5,108107000500,670600,50696,71473,7401
66.03,108005006603,259900,10498,64750,5034
67.07,108005006707,273100,10719,87829,12689
67.08,108005006708,386300,12286,104538,9595
67.12,108005006712,959600,79702,137031,53419
68.54,108005006854,490100,49476,76694,21347
68.56,108005006856,218300,18818,74145,11567
71.07,108005007107,404000,20646,121098,21154
72.01,108041007201,392900,23246,89980,30684
72.02,108041007202,332000,14555,110128,6018
135.08,108013013508,287300,15192,82386,8678
78,108041007800,237100,18076,54907,7345
79,108041007900,310400,51686,89107,11176
72.02,108005007202,112200,10806,34946,6924
800,108005080000,168100,7698,49018,11393
823,108005082300,148500,9855,53832,6169
828,108005082800,159700,4894,62403,3770
840,108005084000,209400,9100,78750,7943
19.02,108123001902,180400,16765,56686,5146
30.04,108031003004,355700,21684,48636,10790
9782,108043978200,118700,14789,35960,5458
8,108107000800,274000,43561,59271,7026
9681.02,108113968102,1072000,325047,46304,9000
71.03,108005007103,311800,29284,86346,30077
853,108005085300,460500,23016,88616,14761
120.54,108059012054,362000,11403,86700,9095
803,108005080300,235200,11385,65052,10627
810,108005081000,120500,28135,32067,6825
813,108005081300,182000,7601,46621,3977
860,108005086000,260700,9813,87245,8088
863,108005086300,247800,37409,62589,17538
4.01,108117000401,526600,104870,72600,17547
103.08,108059010308,239600,15027,74135,11804
106.03,108059010603,217600,12483,47047,7297
14.03,108031001403,180400,31086,51054,2995
77.02,108005007702,170900,9711,41481,4813
23,108031002300,325900,23704,58861,14779
