"LG_ID","housingunits","geoname","state","county","place","tract","bg","geonum","b19013001","mhi","FIPS_CLASS_CODE","PLACECE","DOR_CODE","NAME.x","CREATED_ON","CREATED_BY","UPDATED_ON","UPDATED_BY","FEATURE_ID","NAME.y","rev","s5metric"
32001,84,"Bethune town, Colorado","8","",6530,"","","10806530","37500",37500,"C1","0085","0140","Bethune",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411684,"Bethune, Town of",56735.1,0.0180111428571429
32004,1479.6,"Burlington city, Colorado","8","",10600,"","","10810600","42457",42457,"C1","0160","0171","Burlington",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2409946,"Burlington, City of",1310619.36,0.0208632975750037
32010,328,"Flagler town, Colorado","8","",26765,"","","10826765","26125",26125,"C1","0440","0294","Flagler",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412628,"Flagler, Town of",176782.6,0.0206304819698915
32015,122.8,"Seibert town, Colorado","8","",69040,"","","10869040","",NA,"C1","1190","0588","Seibert",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413270,"Seibert, Town of",96388.02,NA
32020,346,"Stratton town, Colorado","8","",74485,"","","10874485","42632",42632,"C1","1260","0619","Stratton",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413341,"Stratton, Town of",292573.8,0.0198346082131038
32023,61,"Vona town, Colorado","8","",81690,"","","10881690","31250",31250,"C1","1320","0653","Vona",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413437,"Vona, Town of",38622.84,0.0202611619672131
34005,1004.8,"Bayfield town, Colorado","8","",5265,"","","10805265","64087",64087,"C1","0065","0134","Bayfield",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411667,"Bayfield, Town of",1312968.98,0.0203894211804435
34008,7961.2,"Durango city, Colorado","8","",22035,"","","10822035","57024",57024,"C1","0350","0256","Durango",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410374,"Durango, City of",5373112.1,0.0118355839179307
34015,309.8,"Ignacio town, Colorado","8","",38535,"","","10838535","48333",48333,"C1","0665","0385","Ignacio",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412787,"Ignacio, Town of",686346.76,0.0458372360449617
35009,62259.6,"Fort Collins city, Colorado","8","",27425,"","","10827425","55647",55647,"C1","0455","0307","Fort Collins",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410526,"Fort Collins, City of",37968853.08,0.0109592137256152
35026,29454.6,"Loveland city, Colorado","8","",46465,"","","10846465","56277",56277,"C1","0830","0443","Loveland",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410886,"Loveland, City of",14517965.92,0.00875833807641769
35047,2355,"Wellington town, Colorado","8","",83230,"","","10883230","76917",76917,"C1","1345","0664","Wellington",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413464,"Wellington, Town of",1885812.42,0.0104108273216004
36001,290,"Aguilar town, Colorado","8","",760,"","","10800760","36701",36701,"C1","0005","0104","Aguilar",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412339,"Aguilar, Town of",309519.32,0.0290811694504237
36004,94.6,"Cokedale town, Colorado","8","",15550,"","","10815550","57857",57857,"C1","0230","0205","Cokedale",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413221,"Cokedale, Town of",80193.66,0.0146518676706779
36011,4365.4,"Trinidad city, Colorado","8","",78610,"","","10878610","43819",43819,"C1","1295","0637","Trinidad",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412094,"Trinidad, City of",3751378.46,0.0196112092711715
37002,129,"Arriba town, Colorado","8","",3235,"","","10803235","36071",36071,"C1","0035","0117","Arriba",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411647,"Arriba, Town of",103539,0.0222513350607619
37004,84,"Genoa town, Colorado","8","",29680,"","","10829680","37321",37321,"C1","0515","0320","Genoa",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412675,"Genoa, Town of",82530.32,0.026325763230455
37006,409.4,"Hugo town, Colorado","8","",37875,"","","10837875","32321",32321,"C1","0655","0380","Hugo",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412778,"Hugo, Town of",195242.4,0.0147550780113392
37007,966,"Limon town, Colorado","8","",44980,"","","10844980","31776",31776,"C1","0800","0433","Limon",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412897,"Limon, Town of",942803.8,0.0307146075843534
38002,76,"Crook town, Colorado","8","",18640,"","","10818640","38125",38125,"C1","0285","0230","Crook",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412389,"Crook, Town of",51017.78,0.017607516824849
