"LG_ID","housingunits","geoname","state","county","place","tract","bg","geonum","b25077001","mhv","FIPS_CLASS_CODE","PLACECE","DOR_CODE","NAME.x","CREATED_ON","CREATED_BY","UPDATED_ON","UPDATED_BY","FEATURE_ID","NAME.y","debt","s4metric"
28007,567.4,"La Veta town, Colorado","8","",44100,"","","10844100","192900",192900,"C1","0785","0414","La Veta",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412857,"La Veta, Town of",6271477,0.0572991625694166
28010,1762,"Walsenburg city, Colorado","8","",82350,"","","10882350","78200",78200,"C1","1330","0656","Walsenburg",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412176,"Walsenburg, City of",46832953,0.339890389902198
29006,377.8,"Walden town, Colorado","8","",82130,"","","10882130","102100",102100,"C1","1325","0655","Walden",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413440,"Walden, Town of",4449748,0.115358000776701
30020,2438.4,"Edgewater city, Colorado","8","",23135,"","","10823135","218600",218600,"C1","0380","0266","Edgewater",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410399,"Edgewater, City of",0,0
30035,7852,"Golden city, Colorado","8","",30835,"","","10830835","399300",399300,"C1","0540","0333","Golden",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410611,"Golden, City of",35955000,0.0114677889567058
30055,66285,"Lakewood city, Colorado","8","",43000,"","","10843000","254700",254700,"C1","0760","0420","Lakewood",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411614,"Lakewood, City of",0,0
30065,141,"Morrison town, Colorado","8","",52075,"","","10852075","385900",385900,"C1","0920","0482","Morrison",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413014,"Morrison, Town of",2998653,0.0551102424285864
31002,352,"Eads town, Colorado","8","",22145,"","","10822145","61700",61700,"C1","0355","0257","Eads",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412454,"Eads, Town of",5707591,0.262799791881538
32001,84,"Bethune town, Colorado","8","",6530,"","","10806530","86000",86000,"C1","0085","0140","Bethune",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411684,"Bethune, Town of",1616258,0.223734496124031
32004,1479.6,"Burlington city, Colorado","8","",10600,"","","10810600","121300",121300,"C1","0160","0171","Burlington",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2409946,"Burlington, City of",12444279,0.0693369311507065
