"LG_ID","housingunits","geoname","state","county","place","tract","bg","geonum","b25077001","mhv","FIPS_CLASS_CODE","PLACECE","DOR_CODE","NAME.x","CREATED_ON","CREATED_BY","UPDATED_ON","UPDATED_BY","FEATURE_ID","NAME.y","debt","s4metric"
26010,105,"Marble town, Colorado","8","",48555,"","","10848555","309100",309100,"C1","0860","0455","Marble",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412952,"Marble, Town of",324869.333333333,0.0100096850559484
28007,567.4,"La Veta town, Colorado","8","",44100,"","","10844100","192900",192900,"C1","0785","0414","La Veta",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412857,"La Veta, Town of",1254295.4,0.0114598325138833
30035,7852,"Golden city, Colorado","8","",30835,"","","10830835","399300",399300,"C1","0540","0333","Golden",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410611,"Golden, City of",7191000,0.00229355779134116
30055,66285,"Lakewood city, Colorado","8","",43000,"","","10843000","254700",254700,"C1","0760","0420","Lakewood",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411614,"Lakewood, City of",0,0
30067,279.2,"Mountain View town, Colorado","8","",52350,"","","10852350","207600",207600,"C1","0925","0484","Mountain View",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413021,"Mountain View, Town of",0,0
31002,352,"Eads town, Colorado","8","",22145,"","","10822145","61700",61700,"C1","0355","0257","Eads",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412454,"Eads, Town of",1141518.2,0.0525599583763076
31003,41,"Haswell town, Colorado","8","",34740,"","","10834740","50800",50800,"C1","0605","0357","Haswell",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412734,"Haswell, Town of",42792.2,0.0205455156520069
32001,84,"Bethune town, Colorado","8","",6530,"","","10806530","86000",86000,"C1","0085","0140","Bethune",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411684,"Bethune, Town of",323251.6,0.0447468992248062
32010,328,"Flagler town, Colorado","8","",26765,"","","10826765","102600",102600,"C1","0440","0294","Flagler",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412628,"Flagler, Town of",188195.4,0.00559226572528883
32015,122.8,"Seibert town, Colorado","8","",69040,"","","10869040","96000",96000,"C1","1190","0588","Seibert",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413270,"Seibert, Town of",171034.6,0.0145082281487514
32020,346,"Stratton town, Colorado","8","",74485,"","","10874485","100000",1e+05,"C1","1260","0619","Stratton",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413341,"Stratton, Town of",1378554.2,0.0398426069364162
32023,61,"Vona town, Colorado","8","",81690,"","","10881690","95000",95000,"C1","1320","0653","Vona",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413437,"Vona, Town of",97254,0.0167823986194996
34005,1004.8,"Bayfield town, Colorado","8","",5265,"","","10805265","249600",249600,"C1","0065","0134","Bayfield",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411667,"Bayfield, Town of",4485047.2,0.0178831002215009
34008,7961.2,"Durango city, Colorado","8","",22035,"","","10822035","363700",363700,"C1","0350","0256","Durango",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410374,"Durango, City of",1557600.8,0.000537940603900322
34015,309.8,"Ignacio town, Colorado","8","",38535,"","","10838535","163800",163800,"C1","0665","0385","Ignacio",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412787,"Ignacio, Town of",640385.4,0.0126196151599638
35004,4164.4,"Estes Park town, Colorado","8","",25115,"","","10825115","320700",320700,"C1","0405","0284","Estes Park",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412603,"Estes Park, Town of",4867203.4,0.00364441728704531
35009,62259.6,"Fort Collins city, Colorado","8","",27425,"","","10827425","265900",265900,"C1","0455","0307","Fort Collins",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410526,"Fort Collins, City of",51019219.6,0.00308183333040126
35026,29454.6,"Loveland city, Colorado","8","",46465,"","","10846465","224900",224900,"C1","0830","0443","Loveland",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410886,"Loveland, City of",40000,6.03833782348663e-06
35047,2355,"Wellington town, Colorado","8","",83230,"","","10883230","212600",212600,"C1","1345","0664","Wellington",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413464,"Wellington, Town of",4593828.4,0.0091753068369974
36001,290,"Aguilar town, Colorado","8","",760,"","","10800760","108800",108800,"C1","0005","0104","Aguilar",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412339,"Aguilar, Town of",1135204.8,0.0359788539553753
36002,45,"Branson town, Colorado","8","",8345,"","","10808345","",NA,"C1","0120","0157","Branson",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411720,"Branson, Town of",194850.2,NA
36005,47,"Kim town, Colorado","8","",40570,"","","10840570","78800",78800,"C1","0713","0403","Kim",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412834,"Kim, Town of",102267,0.0276128631601685
36010,35,"Starkville town, Colorado","8","",73715,"","","10873715","62500",62500,"C1","1245","0610","Starkville",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413331,"Starkville, Town of",146313,0.0668859428571429
36011,4365.4,"Trinidad city, Colorado","8","",78610,"","","10878610","136500",136500,"C1","1295","0637","Trinidad",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412094,"Trinidad, City of",2506357.6,0.00420616533174374
