"LG_ID","NAME","CM_FUND_TYPE_ID","GO_DEBT","REVENUE_DEBT","OTHER_DEBT","debt","housingunits","mhv","s4metric"
26010,"Marble",2,0,0,324869.333333333,324869.333333333,105,309100,0.0100096850559484
27005,"Lake City",1,0,0,4207.2,4207.2,453.8,269500,3.44009072838639e-05
28007,"La Veta",2,0,0,1200295.4,1200295.4,567.4,192900,0.0109664631243841
28007,"La Veta",3,0,0,54000,54000,567.4,192900,0.000493369389499236
28010,"Walsenburg",1,0,9219000,147590.6,9366590.6,1762,78200,0.0679780779804396
29006,"Walden",1,0,0,889949.6,889949.6,377.8,102100,0.0230716001553403
30020,"Edgewater",1,0,0,0,0,2438.4,218600,0
30035,"Golden",2,0,7191000,0,7191000,7852,399300,0.00229355779134116
30035,"Golden",3,0,0,0,0,7852,399300,0
30055,"Lakewood",2,0,0,0,0,66285,254700,0
30055,"Lakewood",3,0,0,0,0,66285,254700,0
30065,"Morrison",1,0,0,599730.6,599730.6,141,385900,0.0110220484857173
30067,"Mountain View",3,0,0,0,0,279.2,207600,0
31002,"Eads",2,0,0,993269.8,993269.8,352,61700,0.0457340227641079
31002,"Eads",3,0,0,148248.4,148248.4,352,61700,0.00682593561219979
31003,"Haswell",2,0,0,42792.2,42792.2,41,50800,0.0205455156520069
32001,"Bethune",2,0,0,323251.6,323251.6,84,86000,0.0447468992248062
32001,"Bethune",3,0,0,0,0,84,86000,0
32004,"Burlington",1,0,0,2488855.8,2488855.8,1479.6,121300,0.0138673862301413
32010,"Flagler",2,0,0,188195.4,188195.4,328,102600,0.00559226572528883
32010,"Flagler",3,0,0,0,0,328,102600,0
32015,"Seibert",2,0,0,33784.6,33784.6,122.8,96000,0.00286582179695983
32015,"Seibert",3,0,6000,131250,137250,122.8,96000,0.0116424063517915
32020,"Stratton",2,0,0,989354,989354,346,1e+05,0.0285940462427746
32020,"Stratton",3,0,0,389200.2,389200.2,346,1e+05,0.0112485606936416
32023,"Vona",2,0,0,73209.4,73209.4,61,95000,0.0126332010353753
32023,"Vona",3,0,0,24044.6,24044.6,61,95000,0.00414919758412424
34005,"Bayfield",2,0,0,236568.2,236568.2,1004.8,249600,0.000943261607106402
34005,"Bayfield",3,0,0,4248479,4248479,1004.8,249600,0.0169398386143945
34008,"Durango",2,0,0,1557600.8,1557600.8,7961.2,363700,0.000537940603900322
34008,"Durango",3,0,0,0,0,7961.2,363700,0
