geoname,geonum,b25077001,b25077_moe001,b19013001,b19013_moe001
Louisville,10846355,407500,14578,91230,8603
Louviers,10846410,244100,26363,62292,37546
Loveland,10846465,224900,3434,56277,2244
Lynn,10847015,,,,
Lyons,10847070,362500,39991,85577,13666
McCoy,10847345,,,,
Manassa,10848060,86600,9131,33375,3885
Mancos,10848115,186100,15943,36729,3204
Manitou Springs,10848445,289600,20029,49139,13826
Manzanola,10848500,53900,9999,29844,9188
Marble,10848555,309100,63507,64167,44079
Maybell,10849325,104200,73249,26087,6820
Maysville,10849490,357600,17438,,
Mead,10849600,300200,28641,95033,10642
Meeker,10849875,206000,16243,50054,16910
Meridian,10850012,314500,63791,74063,12475
Merino,10850040,111400,32520,39773,10561
Midland,10850380,222400,43600,88214,49773
Milliken,10850480,189400,13062,72273,9209
Minturn,10850920,527300,72906,63947,16330
Moffat,10851250,112500,49511,,
Monte Vista,10851635,99500,20223,37188,9267
Montezuma,10851690,500000,137973,58750,22467
Montrose,10851745,177600,9247,41717,3161
Monument,10851800,323300,16563,93341,10272
Morgan Heights,10851975,229400,91376,82891,20658
Morrison,10852075,385900,50589,59583,29065
Mountain Meadows,10852210,502500,133963,,
Mountain View,10852350,207600,19972,45714,13576
Mountain Village,10852550,,,35568,6305
Mount Crested Butte,10852570,382600,72166,48563,8455
Mulford,10852820,472900,211978,,
Naturita,10853120,108100,23860,32813,9658
Nederland,10853175,350000,21172,60000,11231
New Castle,10853395,265100,16560,66818,30673
Niwot,10853780,617700,56572,104681,13755
No Name,10853875,340600,64942,,
Norrie,10853945,,,,
Northglenn,10854330,191900,4369,55831,2971
North La Junta,10854495,65800,13614,26250,15081
North Washington,10854750,140700,17441,50787,15417
Norwood,10854880,168800,25303,41094,11198
Nucla,10854935,115500,16413,30000,13093
Nunn,10855045,129000,20150,50455,7512
Oak Creek,10855155,162900,24335,39773,6119
Olathe,10855540,96600,10876,36569,5087
Olney Springs,10855705,55600,21929,31458,9764
Ophir,10855870,442300,99907,70000,33301
Orchard,10855925,120800,78887,,
Orchard City,10855980,178700,14608,40288,6436
Orchard Mesa,10856035,174500,6751,46701,5118
Ordway,10856145,63600,11745,27589,7008
Otis,10856365,105100,16306,38977,9238
Ouray,10856420,352000,37788,66750,13524
Ovid,10856475,51600,9144,25417,11815
Padroni,10856695,,,46058,15672
Pagosa Springs,10856860,190800,18425,32063,8214
Palisade,10856970,165700,16976,43167,5008
Palmer Lake,10857025,235300,21572,58621,15134
Paoli,10857245,66900,10231,29750,6773
Paonia,10857300,155700,14752,40759,5609
Parachute,10857400,123800,57701,32917,9550
Paragon Estates,10857445,818500,145164,140000,30821
Parker,10857630,304700,7724,100469,3543
Parshall,10857850,,,,
Peetz,10858235,86300,11940,34750,8115
Penrose,10858400,172200,14133,47390,8725
Peoria,10858510,190000,79024,127500,114503
Perry Park,10858592,461800,56024,116413,10926
Peyton,10858675,,,51643,43208
Phippsburg,10858785,169600,37427,53750,35610
Piedra,10858960,,,,
Pierce,10859005,124000,15903,57917,9737
Pine Brook Hill,10859240,668200,60615,194336,98520
Pitkin,10859830,255000,85783,56000,22553
Platteville,10860160,163300,17256,57227,10280
Poncha Springs,10860600,207600,42629,39643,9251
Ponderosa Park,10860655,338700,16929,96324,5303
Portland,10860765,430800,62194,53750,24052
Pritchett,10861315,70000,27353,51875,20971
Pueblo,10862000,114200,2166,34550,947
Pueblo West,10862220,176900,5377,65681,3219
Ramah,10862660,117200,26843,31250,25343
Rangely,10862880,167200,10821,68750,5393
Raymer (New Raymer),10863045,75000,46801,51875,35325
Red Cliff,10863265,325000,36300,68125,14715
Red Feather Lakes,10863320,267500,125877,,
Redlands,10863375,275400,18180,67538,6762
Redstone,10863650,,,,
Redvale,10863705,186700,98593,,
Rico,10864090,260000,34356,31458,9951
Ridgway,10864200,340400,23172,51442,11689
Rifle,10864255,195600,16082,54175,4844
Rock Creek Park,10864870,,,,
Rockvale,10864970,144600,28250,36923,6008
Rocky Ford,10865190,72500,9748,27088,4104
Rollinsville,10865685,,,,
Romeo,10865740,66300,15108,20833,6469
Roxborough Park,10866197,321700,28774,99392,7639
Rye,10866895,153300,33437,55938,28355
Saddle Ridge,10866995,371400,35819,183889,60511
Saguache,10867005,121400,48789,27386,7958
St. Ann Highlands,10867040,382100,98888,179539,89822
St. Mary's,10867142,226900,12010,97917,15891
Salida,10867280,248400,12703,40801,4101
Salt Creek,10867445,78400,45174,27917,13985
San Acacio,10867500,56400,4718,,
Sanford,10867830,104900,19583,56250,15947
San Luis,10868105,76800,23784,24479,12331
Sawpit,10868655,,,,
Security-Widefield,10868847,168300,2737,57375,3454
Sedalia,10868875,172900,69899,66094,22760
Sedgwick,10868930,52900,10949,29375,8642
Segundo,10868985,,,31250,19650
Seibert,10869040,96000,29754,,
Seven Hills,10869110,,,,
Severance,10869150,245600,12033,85625,6921
Shaw Heights,10869480,186600,8990,59258,5497
Sheridan,10869645,139600,14849,36815,8570
Sheridan Lake,10869700,30000,4246,26250,10617
Sherrelwood,10869810,171100,4106,48569,2714
Silt,10870195,187800,15886,56268,5972
Silver Cliff,10870250,176400,20470,26458,5253
Silver Plume,10870360,176900,21128,42000,16625
Silverthorne,10870525,473500,38599,70938,36306
Silverton,10870580,223100,45482,35699,2589
Simla,10870635,113000,20899,41953,14757
Smeltertown,10871625,189300,148837,46429,34967
Snowmass Village,10871755,1029700,447623,81035,37116
Snyder,10871790,,,49792,48274
Southern Ute,10872320,179200,131818,57500,22635
South Fork,10872395,193100,44845,39044,9094
Springfield,10873330,61600,5688,33029,3976
Starkville,10873715,62500,21092,18438,6233
Steamboat Springs,10873825,456000,60844,56125,8158
Sterling,10873935,98500,10177,35732,3199
Stonegate,10874080,325200,11282,113510,12154
Stonewall Gap,10874275,238900,105536,87917,24490
Strasburg,10874375,208500,15110,76875,12480
Stratmoor,10874430,139400,10737,40977,7343
Stratton,10874485,100000,24627,42632,15655
Sugar City,10874815,49400,13716,32500,15645
Sugarloaf,10874980,513900,268828,88854,6308
Sunshine,10875585,599400,130008,165563,80472
Superior,10875640,446800,20825,115846,5968
Swink,10875970,104700,14078,36932,15405
Tabernash,10876190,,,108720,16251
Tall Timber,10876325,476900,116748,71154,12237
Telluride,10876795,612500,475179,62000,9536
The Pinery,10877235,379800,12724,129265,17033
Thornton,10877290,219600,3524,66948,1756
Timnath,10877510,383000,40660,80694,42361
Todd Creek,10877757,468400,30191,119493,20533
Towaoc,10878280,106300,17423,24500,9360
Towner,10878335,,,38750,6301
Trail Side,10878345,,,,
Trinidad,10878610,136500,17047,43819,3717
Twin Lakes,10879100,166100,6274,45417,5061
Twin Lakes,10879105,226900,225654,64375,54366
Two Buttes,10879270,30800,23298,24375,2779
Upper Bear Creek,10879785,553400,119529,119688,22799
Vail,10880040,534400,155005,67833,10830
Valdez,10880095,,,,
Valmont,10880370,2000001,,49242,11784
Vernon,10880755,,,,
Victor,10880865,87700,17058,38333,10717
Vilas,10881030,52900,24715,32500,20135
Vineland,10881305,109700,15955,,
Vona,10881690,95000,37968,31250,12905
Walden,10882130,102100,16480,44276,2960
Walsenburg,10882350,78200,13203,24928,4796
Walsh,10882460,66500,24870,34712,9120
Ward,10882735,173400,110171,61250,45298
Watkins,10882900,369600,105480,115250,21140
Welby,10883120,154400,5127,45000,7288
Weldona,10883175,103600,34071,47500,31173
Wellington,10883230,212600,11274,76917,9849
Westcliffe,10883450,182100,51294,30833,10769
