"LG_ID","NAME","CM_FUND_TYPE_ID","EXP_PRINCIPAL","EXP_INTEREST","EXP_OPERATING","EXP_TRANSFER_OUT","rev","housingunits","mhi","s5metric"
37006,"Hugo",3,0,0,48103.6,2400,50503.6,409.4,32321,0.00381671480095241
37007,"Limon",1,218295.8,161290.2,525259.2,0,942803.8,966,31776,0.0307146075843534
38002,"Crook",2,7530,375.8,27854.2,0,36550.58,76,38125,0.0126145228645384
38002,"Crook",3,0,0,14467.2,0,14467.2,76,38125,0.00499299396031061
38005,"Fleming",2,0,0,58310.4,0,58310.4,204.4,41875,0.00681255951163945
38005,"Fleming",3,0,0,30797.6,0,30797.6,204.4,41875,0.00359816572713731
38007,"Iliff",2,874,400.4,22074,10579.2,34055.04,128.2,36250,0.00732799827855183
38007,"Iliff",3,5000,582.2,19261.8,6975,32377.22,128.2,36250,0.00696696325784066
38011,"Merino",2,695.6,271.8,47259.4,0,48323.54,120.8,39773,0.0100578106915687
38011,"Merino",3,0,0,30461.6,0,30461.6,120.8,39773,0.0063401192495891
38016,"Peetz",2,0,0,26523,11400,37923,106,34750,0.0102953712501697
38016,"Peetz",3,0,0,21500.6,1800,23300.6,106,34750,0.00632566852178634
38019,"Sterling",2,1457576.8,435092.2,1690039.2,245726,4017701.1,5408.8,35732,0.0207883191519612
38019,"Sterling",3,149864.4,26765,881642,269712.4,1345646.74,5408.8,35732,0.00696262195734675
39011,"Collbran",2,0,0,88154.4,4840,92994.4,223.2,32361,0.0128748053849057
39011,"Collbran",3,0,0,79071.2,0,79071.2,223.2,32361,0.0109471786639943
39012,"De Beque",2,29676.8,12102.4,124031.4,0,169988.52,224.2,44000,0.0172318262914605
39012,"De Beque",3,0,0,127228.6,0,127228.6,224.2,44000,0.0128972305571324
39014,"Fruita",3,455713.2,353227.8,943017.8,176664,2009516.9,5204,55864,0.00691229629759679
39020,"Grand Junction",2,312009.8,163932,4222427.6,0,4745963.58,26862.2,45358,0.00389519250794637
39034,"Palisade",2,194922.6,148545,540400.6,0,918214.96,1292.2,43167,0.0164612480871282
39034,"Palisade",3,11131,185.6,233131,0,245579.26,1292.2,43167,0.0044026086483206
40001,"Creede",1,41196.8,23113.4,196154.8,22000,288896.02,272,32188,0.0329973195162245
41004,"Craig",2,252349,166713.4,1956872.2,5920,2423760.84,4088.2,49590,0.0119553837874859
41004,"Craig",3,65274.2,14999.8,1062900.4,8806.6,1160008.4,4088.2,49590,0.00572182922911961
41005,"Dinosaur",2,8885,4145,46666,0,60999,175,42083,0.00828281525285066
41005,"Dinosaur",3,0,0,30233.8,0,30233.8,175,42083,0.00410532926427706
42004,"Cortez",2,116338,206036.6,1092729,97488.6,1544829.66,3904,42412,0.00933000845627513
42008,"Dolores",2,13268.8,4692.8,163347,3328,186432.76,501.6,34813,0.0106763610231764
42008,"Dolores",3,14141.8,2914.4,137628.2,3328.2,159718.22,501.6,34813,0.00914651147523169
42016,"Mancos",2,12382.4,3850.6,147902.8,90165.6,255924.7,615.8,36729,0.0113152307291546
42016,"Mancos",3,62634,7492.8,122322.6,84605.2,284067.28,615.8,36729,0.0125595021340393
43004,"Montrose",2,204493.4,103694.4,3115147.6,337641.8,3791795.98,8715.2,41717,0.0104292849743293
43004,"Montrose",3,297742,92622.6,1528206,458201.2,2415808.26,8715.2,41717,0.00664464884708239
43005,"Naturita",1,17877.8,802.4,269324.4,0,289872.62,316,32813,0.0279559448304489
43007,"Nucla",2,36400,5972.4,245857.8,0,292467.44,369.4,30000,0.0263912145822054
43007,"Nucla",3,0,0,95794.4,0,95794.4,369.4,30000,0.00864414365637971
43012,"Olathe",2,2171.6,204.6,240592.6,8000,251206.42,634,36569,0.0108349869349442
43012,"Olathe",3,22504.4,65257.4,171205.2,0,267743.18,634,36569,0.0115482472829334
44001,"Brush",2,71945.2,5475.6,623570.6,213107,921840.48,2295,44457,0.00903509934913975
44001,"Brush",3,242000,125345.6,563547.6,235293,1202920.76,2295,44457,0.0117900101064587
44006,"Fort Morgan",2,1437010.2,955079,2923412.4,0,5554710.52,4281.2,45403,0.0285766532011947
